Date,Open,High,Low,Close,Adj Close,Volume
1990-09-05,3.156250,3.156250,3.140625,3.140625,1.433472,140800
1990-09-06,3.140625,3.171875,3.125000,3.125000,1.426340,112000
1990-09-07,3.140625,3.156250,3.125000,3.156250,1.440604,298400
1990-09-10,3.156250,3.171875,3.125000,3.171875,1.447735,160000
1990-09-11,3.203125,3.203125,3.171875,3.171875,1.447735,197600
1990-09-12,3.187500,3.234375,3.187500,3.203125,1.461999,186400
1990-09-13,3.187500,3.187500,3.125000,3.125000,1.426340,97600
1990-09-14,3.078125,3.109375,3.078125,3.109375,1.419208,128000
1990-09-17,3.031250,3.031250,2.937500,2.937500,1.340759,424800
1990-09-18,2.859375,2.906250,2.843750,2.906250,1.326496,156800
1990-09-19,2.906250,2.921875,2.906250,2.921875,1.333627,44800
1990-09-20,2.890625,2.906250,2.875000,2.875000,1.312233,208000
1990-09-21,2.906250,2.906250,2.843750,2.859375,1.305101,184000
1990-09-24,2.859375,2.875000,2.843750,2.859375,1.305101,91200
1990-09-25,2.843750,2.875000,2.843750,2.875000,1.312233,114400
1990-09-26,2.859375,2.921875,2.859375,2.921875,1.333627,28800
1990-09-27,2.906250,2.906250,2.843750,2.843750,1.297969,568800
1990-09-28,2.843750,2.843750,2.796875,2.812500,1.283706,183200
1990-10-01,2.843750,2.906250,2.796875,2.890625,1.319365,297600
1990-10-02,2.921875,2.953125,2.906250,2.906250,1.326496,118400
1990-10-03,2.875000,2.875000,2.812500,2.812500,1.283706,372800
1990-10-04,2.781250,2.796875,2.765625,2.765625,1.262311,227200
1990-10-05,2.765625,2.843750,2.765625,2.843750,1.297969,89600
1990-10-08,2.843750,2.875000,2.843750,2.875000,1.312233,18400
1990-10-09,2.875000,2.875000,2.843750,2.843750,1.297969,45600
1990-10-10,2.812500,2.812500,2.750000,2.750000,1.255179,86400
1990-10-11,2.734375,2.765625,2.703125,2.750000,1.255179,88000
1990-10-12,2.656250,2.718750,2.656250,2.687500,1.226652,51200
1990-10-15,2.656250,2.656250,2.609375,2.609375,1.190994,42400
1990-10-16,2.578125,2.578125,2.453125,2.453125,1.119677,100800
1990-10-17,2.453125,2.531250,2.453125,2.468750,1.126809,86400
1990-10-18,2.468750,2.593750,2.468750,2.593750,1.183863,482400
1990-10-19,2.625000,2.640625,2.546875,2.578125,1.176731,110400
1990-10-22,2.578125,2.593750,2.562500,2.562500,1.169599,103200
